cod_article;name;reference;brand;category;collection;stock;price;color
;GEL-CUMULUS 16;CUMULUS/FOREST 38;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/FOREST 41,5;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/FOREST 42;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/FOREST 42,5;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/FOREST 43,5;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/FOREST 44;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/FOREST 45;asics;basket;SS26;1;150;White/Green
;GEL-CUMULUS 16;CUMULUS/GLACIER 42,5;asics;basket;SS26;1;160;Blue/Grey
;GEL-CUMULUS 16;CUMULUS/GLACIER 43,5;asics;basket;SS26;1;160;Blue/Grey
;GEL-CUMULUS 16;CUMULUS/GLACIER 44;asics;basket;SS26;1;160;Blue/Grey
;GEL-CUMULUS 16;CUMULUS/WHITE2 37;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/WHITE2 38;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/WHITE2 41,5;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/WHITE2 42;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/WHITE2 42,5;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/WHITE2 43,5;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/WHITE2 44;asics;basket;SS26;1;150;White
;GEL-CUMULUS 16;CUMULUS/NIGHT 37;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 38;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 39;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 40;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 41;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 42;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 43;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 44;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/NIGHT 45;asics;basket;SS26;1;150;White/Navy
;GEL-CUMULUS 16;CUMULUS/BENI 37;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 38;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 39;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 40;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 41;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 42;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 43;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 44;asics;basket;SS26;1;150;Cream/Purple
;GEL-CUMULUS 16;CUMULUS/BENI 45;asics;basket;SS26;1;150;Cream/Purple
;GEL-1130;GEL1130/CINNA 43,5;asics;basket;SS26;1;100;Cream/Brown
;GEL-1130;GEL1130/DENIM 42;asics;basket;SS26;1;100;Denim/Silver
;GEL-1130;GEL1130/DENIM 42,5;asics;basket;SS26;1;100;Denim/Silver
;GEL-1130;GEL1130/DENIM 43,5;asics;basket;SS26;1;100;Denim/Silver
;GEL-1130;GEL1130/DENIM 44;asics;basket;SS26;1;100;Denim/Silver
;GEL-1130 GS;GEL1130/LAV 27;asics;basket;SS26;1;75;Purple/Silver
;GEL-1130 GS;GEL1130/LAV 28,5;asics;basket;SS26;1;75;Purple/Silver
;GEL-1130 GS;GEL1130/LAV2 37;asics;basket;SS26;1;85;Purple/Silver
;GEL-1130 GS;GEL1130/LAV2 38;asics;basket;SS26;1;85;Purple/Silver
;GEL-1130 GS;GEL1130/LAV2 40;asics;basket;SS26;1;85;Purple/Silver
;GEL-1130;GEL1130/RED3 41,5;asics;basket;SS26;1;100;White/Red
;GEL-1130;GEL1130/RED3 42;asics;basket;SS26;1;100;White/Red
;GEL-1130;GEL1130/RED3 42,5;asics;basket;SS26;1;100;White/Red
;GEL-1130;GEL1130/RED3 43,5;asics;basket;SS26;1;100;White/Red
;GEL-1130;GEL1130/RED3 44;asics;basket;SS26;1;100;White/Red
;GEL-1130;GEL1130/RED3 44,5;asics;basket;SS26;1;100;White/Red
;GT-2160;GT2160/CREAM 42;asics;basket;SS26;1;130;Cream/Silver
;GT-2160;GT2160/CREAM 43,5;asics;basket;SS26;1;130;Cream/Silver
;GT-2160;GT2160/CREAM 44;asics;basket;SS26;1;130;Cream/Silver
;GT-2160;GT2160/ICEGR 41,5;asics;basket;SS26;1;130;White/Green
;GT-2160;GT2160/ICEGR 42;asics;basket;SS26;1;130;White/Green
;GT-2160;GT2160/ICEGR 42,5;asics;basket;SS26;1;130;White/Green
;GT-2160;GT2160/ICEGR 43,5;asics;basket;SS26;1;130;White/Green
;GT-2160;GT2160/ICEGR 44;asics;basket;SS26;1;130;White/Green
;GEL-KAYANO 14;KAY14/IVORY 38;asics;basket;SS26;1;170;White
;GEL-KAYANO 14;KAY14/IVORY 39;asics;basket;SS26;1;170;White
;GEL-KAYANO 14;KAY14/IVORY 42,5;asics;basket;SS26;1;170;White
;GEL-KAYANO 14;KAY14/IVORY 43,5;asics;basket;SS26;1;170;White
;GEL-KAYANO 14;KAY14/IVORY 44;asics;basket;SS26;1;170;White
;GEL-KAYANO 14;KAY14/NAVY 43,5;asics;basket;SS26;1;170;White/Navy
;GEL-KAYANO 14;KAY14/NAVY 44;asics;basket;SS26;1;170;White/Navy
;GEL-KAYANO 14;KAY14/PINK 41,5;asics;basket;SS26;1;170;Cream/Pink
;GEL-KAYANO 14;KAY14/PINK 44,5;asics;basket;SS26;1;170;Cream/Pink
;GEL-NYC;NYC/ROSE 37;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 38;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 39;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 41,5;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 42;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 42,5;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 43,5;asics;basket;SS26;1;150;Grey/Pink
;GEL-NYC;NYC/ROSE 44;asics;basket;SS26;1;150;Grey/Pink
